x	y	clickSelects
7.15	1020.8685	1
5.09870396045572	301.257771655632	2
3.73416935273903	92.5881347163636	3
2.73341363248841	34.8596379542663	4
1.4354722917764	36.4039730458667	5
3.05352020160532	46.3343940424463	6
2.02945577628285	27.8389851402823	7
7.67724774489662	1100	8
5.44530129699045	384.57430856038	9
3.96885000308608	116.489532986591	10
2.92311647068708	40.9464062233739	11
1.82998570024957	29.5207163570853	12
4.33733900154008	163.389698935583	13
3.20033572326146	53.650293855243	14
2.21595838248707	27.5840216064823	15
-9.60158827593718	-1100	16
-6.47462192303436	-1062.96920183579	17
-4.54456223400491	-283.017618006718	18
-3.50547470713325	-60.8719177666216	19
-3.12389462686844	-6.77628943272134	20
